/html/body/div/div[3]/div/form/div/fieldset/div[1]/div/div/select/option[2],Odyssey FZGSPDJ12W,Odyssey FZGSPDJ12W New 12 Mixer & 2 Turntables Remixer Glide Style DJ Coffin,349,10,C:/Users/indra/Google Drive/4900_Python/Assignemnts/Test Automation/Images/Odyssey_FZGSPDJ12W.jpg
/html/body/div/div[3]/div/form/div/fieldset/div[1]/div/div/select/option[2],Gator G-TOURDSPDDJSR,"Carrying your gear into the club under your arm is never a good idea. Don't be that DJ! Get a Gator G-TOURDSPDDJSR custom-fit road case for your Pioneer DDJSR. Built with tour-style plywood and heavy-duty, commercial-grade hardware, and filled with EVA rubber for internal protection, the G-TOURDSPDDJSR will keep your gear snug and safe. On top of that, you get a sliding platform for laptop workspace, so you won't even need to take your DDJSR out of the case while you're performing. Just open the case, put your laptop on the platform, and you're ready to plug in! At Sweetwater, we take our gear seriously. That's why we recommend the Gator G-TOURDSPDDJSR. Don't travel without it!",249,5,C:/Users/indra/Google Drive/4900_Python/Assignemnts/Test Automation/Images/Gator_G-TOURDSPDDJSR.jpg
/html/body/div/div[3]/div/form/div/fieldset/div[1]/div/div/select/option[3],Ludwig 5-piece Junior Drum Set with Cymbals and Hardware,"The Ludwig 5-piece Junior drum set's authentic feel inspires rookie drummers to start a lifetime of music making. Complete with tunable heads, cymbals, a hi-hat stand, and a junior-sized throne, this drum kit comes with everything you need to get started. Its 16 bass drum is the perfect size for mounting the 8 and 10 toms, which makes assembling this drum set easy. This compact drum kit is a great learning tool for beginners and is built to withstand years of rocking out. If you have a pint-sized drummer, the Ludwig 5-piece Junior drum set is a great way to go!",299,10,C:/Users/indra/Google Drive/4900_Python/Assignemnts/Test Automation/Images/Ludwig_5-piece.jpg
/html/body/div/div[3]/div/form/div/fieldset/div[1]/div/div/select/option[3],Ludwig Breakbeats By Questlove 4-piece Shell Pack with Snare Drum - White Sparkle,"For anyone putting together an ideal drum set for less-than-ideal environments, Ludwig's Breakbeats 4-piece shell pack is perfect. Ludwig actually brought in the famous Roots drummer Questlove to help them create a compact set of drums that travel wonderfully and still pack more than enough punch to fill out the backbeat when you're playing tight clubs. With hardwood shells, Remo Pinstripe heads, and ingenious hardware, you'll feel right at home behind this set. Top it off with an included set of velvet gig bags, and you're ready to grab your Breakbeats drums and go.",399,8,C:/Users/indra/Google Drive/4900_Python/Assignemnts/Test Automation/Images/Ludwig_break.png
